fid,referencia,codigo_mun,plano_cata,codigo,inquilinos,deuda_total,UC_inquilinosField7,tipo_familiaField5,ingresos_mean,deuda_mean,tipo_familia_meanmean,count,300m,ingresos_meses,ZVeco,familia,Ifam,ISuivi,ZVvul,OBJECTID,id_padron,TIPO,NOMBRE,ID_T,Eco_mean,suivi_mean,vul_mean,IndiceEco_quar,IndiceFam_quar,IndiceGen_quar,nombre_quartier
869,"76264","77641259",XM7172F,40-01281,7635.9,4427,ALQUILER GENERAL,"3",7635.9,4427,3,1,1,636.325,3.6,2,5.6,3,6.6,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
870,"79271","77901270",XM7172F,40-01289,10798.08,197,ALQUILER GENERAL,"2",10798.08,197,2,1,1,899.84,2,1.2,3.2,2.2,4.2,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
872,"80273","78001277",XM7182G,40-01290,13723.92,0,ALQUILER GENERAL,"2",13723.92,0,2,1,1,1143.66,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
885,"82276","78261276",XM7182G,40-01298,18770.6,2397,ALQUILER GENERAL,"2",18770.6,2397,2,1,1,1564.21666666667,2.8,1.2,4,2.2,5,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
960,"81226","78181226",XM7182C,40-04062,15786.4,325,ALQUILER GENERAL,"2",14546.2341176471,262.686274509804,1.86274509803922,51,1,1212.18617647059,1.6,1.2,2.8,2.2,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
967,"82261","78221261",XM7182E,40-01282,12756.92,0,ALQUILER GENERAL,"2",12756.92,0,2,1,1,1063.07666666667,1.2,1.2,2.4,2.2,3.4,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
971,"84271","78411272",XM7182E,40-01245,13295.4,0,ALQUILER GENERAL,"2",8992.92,0,2,2,1,749.41,1.6,1.2,2.8,2.2,3.8,6,8,Distrito Municipal,Las Fuentes,VI,2.24,1.38,3.62,1.73333333333333,2.23888888888889,3.97222222222222,72
975,"74229","77441225",XM7172C,40-01280,5760,85,ALQUILER GENERAL,"2",5760,85,2,1,1,480,2.4,1.2,3.6,2.2,4.6,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
976,"72237","77291230",XM7172C,40-01288,7905.8,282,ALQUILER GENERAL,"2",7905.8,282,2,1,1,658.816666666667,2,1.2,3.2,2.2,4.2,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
980,"77211","77661207",XM7172B,40-02659,18807.46,0,ALQUILER GENERAL,"1",18807.46,0,1,1,1,1567.28833333333,0.8,0.4,1.2,1.4,2.2,5,7,Distrito Municipal,San José,V,2.24,1.38,3.62,2.04444444444444,2.2,4.24444444444444,9
